Country_Name,Country_Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,,
Albania,ALB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,2.7,,,,,,3.9,,,2.2,,,1.1,,,,1.6,,,,,
Andorra,AND,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,0.6,,,,,,0,0.3,,,,1.3,2,2.3,2.3,3.9,4.5,4,4.2,4.5,5.4,8.2,11.7,8.9,6.3,4.8,3.8,3.3,2.9,2.8,2,1.5,1.6,1.7,1.8,,,
Armenia,ARM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,16.9,,18,15.7,13.2,9.6,6.1,4.9,5.4,2.8,3.6,4.9,4.5,4,4.1,3.5,3,,
American Samoa,ASM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,0.7,,,,0.8,,,,0.6,,,,,,0.8,,,,,,0.7,,0.9,,,,,0.4,,0.4,,,,,,,
Austria,AUT,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.3,0.3,0.6,0.4,0.4,0.3,0.2,0.2,,,
Azerbaijan,AZE,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,8,,,,,,4.1,0,0,0,0,,,0.7,,,,,,,,,
Burundi,BDI,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,58.4,,,,,,63.8,,,,,,,,54.9,,,,,,,53.2,,,,
Belgium,BEL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,,,
Benin,BEN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,36.6,,,,,,,,38.5,,,,39.5,,
Burkina Faso,BFA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,64.9,,,,61.1,,,,,43,,,,,,40.6,,,,,32.2,,,
Bangladesh,BGD,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,32,,28.5,,,34,,,34.2,,,,28.6,,,,,27,,,,,21.9,,,,,18.2,,,,,,,
Bulgaria,BGR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,0,,,,,,,,,,,,,,4.8,1.5,1,0.9,1.5,2,1.8,1.8,1.4,,,
Bahrain,BHR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
